order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,1,prior,1,2,8,
2398795,1,prior,2,3,7,15.0
473747,1,prior,3,3,12,21.0
2254736,1,prior,4,4,7,29.0
431534,1,prior,5,4,15,28.0
3367565,1,prior,6,2,7,19.0
550135,1,prior,7,1,9,20.0
3108588,1,prior,8,1,14,14.0
2295261,1,prior,9,1,16,0.0
2550362,1,prior,10,4,8,30.0
1187899,1,train,11,4,8,14.0
2168274,2,prior,1,2,11,
1501582,2,prior,2,5,10,10.0
1901567,2,prior,3,1,10,3.0
738281,2,prior,4,2,10,8.0
1673511,2,prior,5,3,11,8.0
1199898,2,prior,6,2,9,13.0
3194192,2,prior,7,2,12,14.0
788338,2,prior,8,1,15,27.0
1718559,2,prior,9,2,9,8.0
1447487,2,prior,10,1,11,6.0
1402090,2,prior,11,1,10,30.0
3186735,2,prior,12,1,9,28.0
3268552,2,prior,13,4,11,30.0
839880,2,prior,14,3,10,13.0
1492625,2,train,15,1,11,30.0
1374495,3,prior,1,1,14,
444309,3,prior,2,3,19,9.0
3002854,3,prior,3,3,16,21.0
2037211,3,prior,4,2,18,20.0
2710558,3,prior,5,0,17,12.0
1972919,3,prior,6,0,16,7.0
1839752,3,prior,7,0,15,7.0
3225766,3,prior,8,0,17,7.0
3160850,3,prior,9,0,16,7.0
676467,3,prior,10,3,16,17.0
521107,3,prior,11,0,18,11.0
1402502,3,prior,12,1,15,15.0
2774568,3,test,13,5,15,11.0
3343014,4,prior,1,6,11,
2030307,4,prior,2,4,11,19.0
691089,4,prior,3,4,15,21.0
94891,4,prior,4,5,13,15.0
2557754,4,prior,5,5,13,0.0
329954,4,test,6,3,12,30.0
2717275,5,prior,1,3,12,
1909121,5,prior,2,0,16,11.0
2267326,5,prior,3,3,18,10.0
157374,5,prior,4,1,18,19.0
2196797,5,train,5,0,11,6.0
2086598,6,prior,1,5,18,
298250,6,prior,2,4,16,6.0
998866,6,prior,3,2,18,12.0
1528013,6,test,4,3,16,22.0
2565571,7,prior,1,3,9,
2402008,7,prior,2,1,19,30.0
121053,7,prior,3,0,18,30.0
1695742,7,prior,4,2,10,9.0
3321109,7,prior,5,5,18,3.0
1682003,7,prior,6,1,18,10.0
1014379,7,prior,7,1,15,7.0
776265,7,prior,8,2,12,8.0
2507052,7,prior,9,6,7,4.0
1396119,7,prior,10,1,20,9.0
565870,7,prior,11,0,15,6.0
3239072,7,prior,12,0,14,7.0
1175028,7,prior,13,5,15,5.0
3060817,7,prior,14,1,13,17.0
3120740,7,prior,15,3,16,2.0
2425840,7,prior,16,0,13,11.0
23391,7,prior,17,0,10,28.0
2984707,7,prior,18,0,9,7.0
369015,7,prior,19,3,12,3.0
2452257,7,prior,20,3,9,7.0
525192,7,train,21,2,11,6.0
600894,8,prior,1,6,0,
2979257,8,prior,2,1,8,30.0
2570360,8,prior,3,5,0,30.0
880375,8,train,4,1,14,10.0
280530,9,prior,1,1,17,
2762092,9,prior,2,0,14,6.0
1830137,9,prior,3,5,12,30.0
1094988,9,train,4,6,10,30.0
1224907,10,prior,1,2,14,
68288,10,prior,2,5,15,30.0
2115522,10,prior,3,3,19,12.0
83395,10,prior,4,3,15,14.0
1353310,10,prior,5,5,20,23.0
1822501,10,train,6,0,19,30.0
2411567,11,prior,1,0,11,
1170872,11,prior,2,5,11,12.0
2840752,11,prior,3,5,10,14.0
1611810,11,prior,4,5,13,30.0
2921164,11,prior,5,5,11,30.0
790927,11,prior,6,5,11,7.0
1468214,11,prior,7,5,9,30.0
1376945,11,test,8,6,11,8.0
1483446,12,prior,1,1,12,
1247527,12,prior,2,5,9,30.0
1916106,12,prior,3,5,8,14.0
1057378,12,prior,4,3,9,26.0
221248,12,prior,5,1,9,30.0
1356845,12,test,6,1,20,30.0
2618231,13,prior,1,6,12,
2560699,13,prior,2,0,11,8.0
2288946,13,prior,3,6,21,6.0
19256,13,prior,4,1,12,9.0
1378982,13,prior,5,0,13,6.0
2363981,13,prior,6,0,18,7.0
1906169,13,prior,7,0,8,7.0
1757094,13,prior,8,6,18,13.0
519471,13,prior,9,6,17,7.0
2298068,13,prior,10,6,22,7.0
1472646,13,prior,11,0,14,8.0
1789302,13,prior,12,6,13,6.0
1827621,13,train,13,0,21,8.0
2906263,14,prior,1,2,18,
3206747,14,prior,2,5,8,30.0
1366559,14,prior,3,0,14,2.0
1385564,14,prior,4,6,8,20.0
1691859,14,prior,5,5,8,30.0
2127409,14,prior,6,1,8,30.0
2505309,14,prior,7,5,10,30.0
3067644,14,prior,8,4,8,27.0
2109666,14,prior,9,5,9,30.0
1625325,14,prior,10,4,21,30.0
1335295,14,prior,11,1,5,25.0
2045336,14,prior,12,5,9,4.0
3394109,14,prior,13,5,5,7.0
2316178,14,train,14,2,19,11.0
2514324,15,prior,1,5,13,
3135826,15,prior,2,6,12,15.0
2564002,15,prior,3,6,12,7.0
714991,15,prior,4,1,11,16.0
3317979,15,prior,5,4,15,17.0
876095,15,prior,6,5,11,8.0
2685110,15,prior,7,1,11,17.0
3119091,15,prior,8,2,17,8.0
887727,15,prior,9,2,13,7.0
2570697,15,prior,10,2,10,21.0
2600170,15,prior,11,2,9,14.0
2883598,15,prior,12,1,8,6.0
2332087,15,prior,13,1,10,14.0
113728,15,prior,14,1,10,14.0
2968173,15,prior,15,1,9,7.0
3097485,15,prior,16,1,9,7.0
1870022,15,prior,17,2,16,8.0
1911383,15,prior,18,2,11,7.0
2345592,15,prior,19,5,11,3.0
2994589,15,prior,20,1,13,10.0
2715276,15,prior,21,1,9,7.0
487368,15,prior,22,1,10,14.0
2161313,15,test,23,1,9,7.0
1273676,16,prior,1,2,8,
875885,16,prior,2,1,13,20.0
1491849,16,prior,3,1,20,21.0
2704482,16,prior,4,6,14,12.0
3192400,16,prior,5,2,14,30.0
2000615,16,prior,6,0,14,26.0
1416320,16,test,7,0,13,7.0
1737705,17,prior,1,2,13,
1681401,17,prior,2,5,10,3.0
2680214,17,prior,3,3,10,5.0
3197376,17,prior,4,1,14,5.0
3237467,17,prior,5,6,17,5.0
2616505,17,prior,6,4,17,5.0
2648319,17,prior,7,1,13,4.0
2430354,17,prior,8,0,15,6.0
2373492,17,prior,9,3,13,3.0
900554,17,prior,10,0,15,4.0
805025,17,prior,11,4,15,4.0
912404,17,prior,12,2,14,5.0
1389057,17,prior,13,1,13,6.0
603534,17,prior,14,6,17,5.0
2660930,17,prior,15,2,16,3.0
1719551,17,prior,16,1,12,6.0
601444,17,prior,17,5,21,4.0
2956367,17,prior,18,6,12,8.0
2508834,17,prior,19,5,11,6.0
415389,17,prior,20,5,13,7.0
3141030,17,prior,21,2,12,4.0
603376,17,prior,22,6,16,4.0
3069802,17,prior,23,3,23,4.0
1683378,17,prior,24,1,10,5.0
2795254,17,prior,25,0,11,6.0
343199,17,prior,26,5,17,5.0
1385847,17,prior,27,4,10,6.0
3314059,17,prior,28,1,9,4.0
697863,17,prior,29,6,14,5.0
2148135,17,prior,30,6,15,0.0
3327122,17,prior,31,4,12,5.0
